seed,epsilon,method,clients,checkpoint_subject,test_subject,grand_worth,shapley_l1,midpoint_l1_error,midpoint_relative_l1_error,median_radius_to_oracle_ratio,coordinate_coverage_count,joint_coverage,signs_certified,strict_pairs,pairs_certified,top_client_certified,efficient_l1_width,efficient_relative_l1_width
0,0.5,authorized_public_clip,8,9,7,0.003888429518774661,0.003888429518774661,1.699490625810783e-09,4.370635026732516e-07,18032.094411064056,8,True,8,28,28,True,7.730345692906838e-05,0.01988038012157366
0,0.5,oracle_bernstein,8,9,7,0.003888429518774661,0.003888429518774661,1.699490625810783e-09,4.370635026732516e-07,1.0,8,True,8,28,28,True,8.383780432310185e-10,2.1560839381746168e-07
1,0.5,authorized_public_clip,8,1,10,0.008777192310435833,0.008777192310435831,9.794521637046093e-09,1.1159060083809238e-06,4243.184373343854,8,True,8,28,28,True,7.730739554740227e-05,0.008807759110698556
1,0.5,oracle_bernstein,8,1,10,0.008777192310435833,0.008777192310435831,9.794521637046093e-09,1.1159060083809238e-06,1.0,8,True,8,28,28,True,3.744738419093202e-10,4.266442258778095e-08
2,0.5,authorized_public_clip,8,4,2,0.003342153116794977,0.00351460719857474,1.309937270173268e-09,3.727122821383191e-07,40565.47902876822,8,True,8,28,27,True,7.731398282724295e-05,0.02199790145442079
2,0.5,oracle_bernstein,8,4,2,0.003342153116794977,0.00351460719857474,1.309937270173268e-09,3.727122821383191e-07,1.0,8,True,8,28,28,True,6.791816496145783e-11,1.9324539302621295e-08
3,0.5,authorized_public_clip,8,10,2,0.004786343086447431,0.00478634308644743,1.5985104929994425e-09,3.3397323672673294e-07,35415.025553867235,8,True,8,28,28,True,7.731007125347171e-05,0.01615222098395403
3,0.5,oracle_bernstein,8,10,2,0.004786343086447431,0.00478634308644743,1.5985104929994425e-09,3.3397323672673294e-07,1.0,8,True,8,28,28,True,2.860678008061515e-09,5.976750842545896e-07
4,0.5,authorized_public_clip,8,1,8,0.006410760322063336,0.006410760322063336,2.7628186361969287e-09,4.3096582885144197e-07,16118.56025643081,8,True,8,28,28,True,7.730944792072527e-05,0.012059325887226977
4,0.5,oracle_bernstein,8,1,8,0.006410760322063336,0.006410760322063336,2.7628186361969287e-09,4.3096582885144197e-07,1.0,8,True,8,28,28,True,1.68743053259807e-09,2.6321847137653453e-07
5,0.5,authorized_public_clip,8,7,4,0.011405549565579376,0.011405549565579378,1.6122780115319923e-08,1.413590815699316e-06,2174.8540098374874,8,True,8,28,28,True,7.73071970408322e-05,0.006778033499355287
