game_id,utility,alpha,partition_seed,checkpoint_epoch,local_epochs,update_scale,base_weighted_update_norm_sum,base_max_weighted_update_norm,base_weighted_aggregate_norm,scaled_weighted_update_norm_sum,high_order_mass,relative_midpoint_gap,absolute_midpoint_gap,kendall_tau,sign_agreement,efficiency_defect,identity_residual
0,negative_brier,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,0.00011584333858161841,4.71757694256802e-05,5.6102646767977e-07,0.9999999999999998,1.0,-5.521406205577506e-07,1.3630083610301777e-18
1,negative_cross_entropy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,0.0001630991392748375,7.681388533113482e-05,5.143129271102274e-06,0.9999999999999998,1.0,-5.143129271134583e-06,1.377847319474889e-17
2,accuracy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,0.8349999999979125,0.984759671625557,0.008000000000000007,0.8864052604279183,0.875,0.008000000000000007,2.6020852139652106e-18
3,negative_brier,0.1,3109,0,20,0.125,1.623127863764565,0.5438424982146491,1.067864723005738,0.20289098297057062,0.0005303311104946789,0.00023795039946585567,5.775937255990068e-06,0.9999999999999998,1.0,-5.670766446919107e-06,3.3701323388880475e-18
4,negative_cross_entropy,0.1,3109,0,20,0.125,1.623127863764565,0.5438424982146491,1.067864723005738,0.20289098297057062,0.0006576429487883758,0.0003061985199198547,4.0773562150567006e-05,0.9999999999999998,1.0,-4.07735621505978e-05,2.0220370516854658e-17
5,accuracy,0.1,3109,0,20,0.125,1.623127863764565,0.5438424982146491,1.067864723005738,0.20289098297057062,0.8823529411752913,0.39642857140379384,0.006342857142857131,0.6943650748294136,1.0,0.000999999999999987,6.071532165918825e-18
6,negative_brier,0.1,3109,0,20,0.25,1.623127863764565,0.5438424982146491,1.067864723005738,0.40578196594114124,0.002840137004725193,0.0013849649055011901,6.983748852666183e-05,0.9999999999999998,1.0,-6.838868657177422e-05,1.3186608922854948e-17
7,negative_cross_entropy,0.1,3109,0,20,0.25,1.623127863764565,0.5438424982146491,1.067864723005738,0.40578196594114124,0.0026605807163990465,0.0012014532550202392,0.00031536837759421274,0.9999999999999998,1.0,-0.0003153683775942717,2.935477382004503e-17
8,accuracy,0.1,3109,0,20,0.25,1.623127863764565,0.5438424982146491,1.067864723005738,0.40578196594114124,0.9078726968166602,0.3713188220182932,0.02900000000000002,0.9285714285714285,0.875,0.029000000000000012,9.107298248878237e-18
9,negative_brier,0.1,3109,0,20,0.5,1.623127863764565,0.5438424982146491,1.067864723005738,0.8115639318822825,0.017820648948377416,0.008981666941737139,0.0009608274773941596,0.9999999999999998,1.0,-0.0009393045872345129,1.043544591017298e-17
10,negative_cross_entropy,0.1,3109,0,20,0.5,1.623127863764565,0.5438424982146491,1.067864723005738,0.8115639318822825,0.010702311903019202,0.004316189039961096,0.0021720217541671078,0.9999999999999998,1.0,-0.002172021754167197,4.710858439449517e-17
11,accuracy,0.1,3109,0,20,0.5,1.623127863764565,0.5438424982146491,1.067864723005738,0.8115639318822825,0.8587521663774446,0.20480769230670787,0.04260000000000006,0.7857142857142856,1.0,-0.031000000000000055,3.729655473350135e-17
12,negative_brier,0.1,3109,0,20,1.0,1.623127863764565,0.5438424982146491,1.067864723005738,1.623127863764565,0.10577179459386878,0.04190630908980162,0.00913918974759905,0.9999999999999998,1.0,-0.00895089674564159,4.90059381963448e-17
13,negative_cross_entropy,0.1,3109,0,20,1.0,1.623127863764565,0.5438424982146491,1.067864723005738,1.623127863764565,0.04337120579101701,0.010686325836050326,0.009397955655854402,0.9999999999999998,1.0,-0.007145625721618365,1.1687699419393738e-16
14,accuracy,0.1,3109,0,20,1.0,1.623127863764565,0.5438424982146491,1.067864723005738,1.623127863764565,0.8326996197716864,0.20509847918171217,0.07834761904761917,0.6428571428571428,1.0,-0.040999999999999925,8.847089727481716e-17
15,negative_brier,0.1,3109,15,20,0.0625,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.07580088821034058,0.00043291137924512555,5.4343016225259625e-05,3.5843819190578736e-07,0.9999999999999998,1.0,3.584381919052859e-07,9.953828270320105e-19
16,negative_cross_entropy,0.1,3109,15,20,0.0625,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.07580088821034058,0.00015195093032231285,1.8799210295548493e-05,3.5588673086175797e-07,0.9999999999999998,1.0,3.5588673086284217e-07,1.8173621278933048e-18
17,accuracy,0.1,3109,15,20,0.0625,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.07580088821034058,0.9296874999981842,0.25185185183481895,0.003723809523809534,0.8864052604279183,0.75,0.0020000000000000018,1.0299920638612292e-17
18,negative_brier,0.1,3109,15,20,0.125,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.15160177642068115,0.0017656006417982846,0.0002200403555794274,2.8951545785750566e-06,0.9999999999999998,1.0,2.88970316020265e-06,4.7660426359631344e-18
19,negative_cross_entropy,0.1,3109,15,20,0.125,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.15160177642068115,0.0006174652621408783,7.520727689541208e-05,2.8242830906091265e-06,0.9999999999999998,1.0,2.8242830906188843e-06,6.822956269251796e-18
20,accuracy,0.1,3109,15,20,0.125,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.15160177642068115,0.9158415841572825,0.118670886073133,0.005000000000000012,0.9819805060619657,1.0,-0.0050000000000000044,3.903127820947816e-18
21,negative_brier,0.1,3109,15,20,0.25,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.3032035528413623,0.007316916108956163,0.0009141343007672394,2.39002430751442e-05,0.9999999999999998,1.0,2.3405508080220905e-05,9.723938234479368e-19
22,negative_cross_entropy,0.1,3109,15,20,0.25,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.3032035528413623,0.002543908416091324,0.0003004729927662421,2.2185165109855128e-05,0.9999999999999998,1.0,2.2185165109878113e-05,1.3156115736753793e-17
23,accuracy,0.1,3109,15,20,0.25,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.3032035528413623,0.899179366939684,0.18608885651572657,0.012166666666666697,0.7252406676228422,0.875,-0.01200000000000001,9.540979117872439e-18
24,negative_brier,0.1,3109,15,20,0.5,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.6064071056827246,0.030946666201417034,0.00392750332423512,0.00020165590445962245,0.9999999999999998,1.0,0.0001896049001188782,1.0509984809531359e-17
25,negative_cross_entropy,0.1,3109,15,20,0.5,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.6064071056827246,0.010704642753269435,0.0012391660652117495,0.00017632038407558058,0.9999999999999998,1.0,0.0001697098291884025,1.1729712253577551e-17
26,accuracy,0.1,3109,15,20,0.5,1.2128142113654492,0.4085155330399151,0.6492652891288087,0.6064071056827246,0.8764510779432516,0.17859198158306192,0.022166666666666727,0.8571428571428571,0.875,-0.0030000000000000027,1.9949319973733282e-17
27,negative_brier,0.1,3109,15,20,1.0,1.2128142113654492,0.4085155330399151,0.6492652891288087,1.2128142113654492,0.1265736485719667,0.01784768327650369,0.0017254901561686465,0.9999999999999998,1.0,0.0014750803285334957,9.269928574751063e-18
28,negative_cross_entropy,0.1,3109,15,20,1.0,1.2128142113654492,0.4085155330399151,0.6492652891288087,1.2128142113654492,0.04566666675056298,0.005644532042734518,0.0014735599859200714,0.9999999999999998,1.0,0.0011995938131184047,4.2717565595928875e-17
29,accuracy,0.1,3109,15,20,1.0,1.2128142113654492,0.4085155330399151,0.6492652891288087,1.2128142113654492,0.8600386100384022,0.24036026795568816,0.035709523809523754,0.9999999999999998,1.0,-0.032999999999999946,2.5153490401663703e-17
30,negative_brier,0.1,3253,0,20,0.0625,1.6475904532978376,0.3475425130634359,0.850623848942954,0.10297440333111485,0.00013809686858331493,2.3054272255274857e-05,2.030785433863923e-07,0.9999999999999998,1.0,-1.4737341935688875e-07,1.0676717951242447e-18
31,negative_cross_entropy,0.1,3253,0,20,0.0625,1.6475904532978376,0.3475425130634359,0.850623848942954,0.10297440333111485,6.948470912947468e-05,2.5320259625663838e-05,1.2963100772945928e-06,0.9999999999999998,1.0,-1.2963100772811487e-06,7.484065484583777e-18
32,accuracy,0.1,3253,0,20,0.0625,1.6475904532978376,0.3475425130634359,0.850623848942954,0.10297440333111485,0.8571428571406706,1.1266094418062353,0.005000000000000004,0.8660254037844386,0.75,0.0050000000000000044,1.1926223897340549e-18
33,negative_brier,0.1,3253,0,20,0.125,1.6475904532978376,0.3475425130634359,0.850623848942954,0.2059488066622297,0.0005522687312811515,9.474335036992658e-05,1.6937932597637967e-06,0.9999999999999998,1.0,-1.2682026890309395e-06,1.437467851049751e-18
34,negative_cross_entropy,0.1,3253,0,20,0.125,1.6475904532978376,0.3475425130634359,0.850623848942954,0.2059488066622297,0.0002820234551000431,0.00010034847469992343,1.0238473461712631e-05,0.9999999999999998,1.0,-1.023847346171003e-05,6.276090622680738e-18
