alpha,partition_seed,checkpoint_epoch,local_epochs,absolute_log_slope,relative_log_slope,minimum_absolute_gap,maximum_identity_residual
0.1,3109,0,20,3.5821853280201736,2.5259496738256666,5.6102646767977e-07,1.3186608922854948e-17
0.1,3109,15,20,3.045317970789128,2.0580760128226667,3.5843819190578736e-07,1.0509984809531359e-17
0.1,3253,0,20,3.150763707854985,2.1058659918054308,2.030785433863923e-07,4.594306705907325e-18
0.1,3253,15,20,3.0865230136035615,2.0943736610732233,2.4050739009652913e-07,3.733721231496956e-18
0.1,3301,0,20,3.412988146453773,2.3714761414895666,3.3904851081751263e-07,1.315950386854281e-17
0.1,3301,15,20,3.1000207731295473,2.1141340295345916,1.8363690912068714e-07,3.7015339795012925e-18
0.1,3463,0,20,3.2143303211419694,2.1687331466097532,3.3151777778590483e-07,1.003564635906895e-17
0.1,3463,15,20,3.030342483746498,2.0389481632179876,3.313402980022412e-07,7.62668465707772e-18
0.1,3559,0,20,3.5190840091398523,2.4698049634680066,4.0000597234364174e-07,6.227386228213616e-18
0.1,3559,15,20,3.0636543446199664,2.0760724658111123,1.6550878733802136e-07,2.5110821116945767e-18
0.5,3109,0,20,3.6834532773164703,2.626469936226706,8.031001940614476e-07,1.6317242695906842e-17
0.5,3109,15,20,3.0284224495097085,2.0374901479519925,4.1564666475139844e-07,3.903127820947816e-18
0.5,3253,0,20,4.580864987330823,3.520052607080482,1.2762621685500318e-07,1.7618285302889447e-17
0.5,3253,15,20,2.911865475086532,1.9316610913014765,1.6513634189252446e-07,3.770143648228891e-18
0.5,3301,0,20,3.8690818935241578,2.8094091397040066,4.6076977333641463e-07,7.995991022080595e-18
0.5,3301,15,20,3.078992882056542,2.09057324384852,2.9577580099317247e-07,9.537590986083422e-18
0.5,3463,0,20,4.061233332604795,3.0001411627353303,4.80083904016949e-07,7.914675859144182e-18
0.5,3463,15,20,3.0518924560073595,2.0680880386283627,1.7073247304052065e-07,7.60063839394965e-18
0.5,3559,0,20,4.372444819480302,3.3077844078172682,1.7362885633073755e-07,1.5449880957918438e-17
0.5,3559,15,20,3.0580202715987026,2.0674207010348504,2.6690182158937027e-07,4.489274620447792e-18
10.0,3109,0,20,4.596869768934572,3.5271235017474134,2.6800896757916623e-07,1.5937771935536915e-17
10.0,3109,15,20,3.0120288128062462,2.0251991944315813,7.782788239982848e-07,4.030182763035961e-18
10.0,3253,0,20,4.642779432013708,3.5727082695117742,2.623490936155652e-07,2.190088388420719e-17
10.0,3253,15,20,3.0004891329721426,2.014627728187604,7.841031963181202e-07,8.748156279242414e-18
10.0,3301,0,20,4.6090443828221295,3.539627051011892,2.6506286459736933e-07,1.5395670849294163e-17
10.0,3301,15,20,3.0083943784209044,2.021633733191039,7.55499947262912e-07,7.291259609965017e-18
10.0,3463,0,20,4.627351694541558,3.5573525342864087,2.624086396509854e-07,2.699663409488906e-17
10.0,3463,15,20,3.009410289745949,2.02285909964721,8.250465756124868e-07,8.89723407795917e-18
10.0,3559,0,20,4.638815481829603,3.5686519320958756,2.5625625378524614e-07,1.360673726469308e-17
10.0,3559,15,20,3.011618641057158,2.025126793307361,8.262419883783324e-07,6.5526468799592674e-18
