seed,epsilon,method,clients,grand_worth,shapley_l1,midpoint_l1_error,midpoint_relative_l1_error,median_radius_to_oracle_ratio,coordinate_coverage_count,joint_coverage,signs_certified,strict_pairs,pairs_certified,top_client_certified,efficient_l1_width,efficient_relative_l1_width
8501,0.25,authorized_public_clip,8,0.0014225040671438371,0.0014225040671438371,6.862303000284642e-10,4.824100790965722e-07,6651.0655363261085,8,True,8,28,28,True,9.628312655492774e-06,0.006768565989450093
8501,0.25,oracle_bernstein,8,0.0014225040671438371,0.0014225040671438371,6.862303000284642e-10,4.824100790965722e-07,1.0,8,True,8,28,28,True,1.3750536392300675e-09,9.666430276184127e-07
8501,0.5,authorized_public_clip,8,0.0028385839687058434,0.002838583968705843,5.478096883152492e-09,1.929869590477599e-06,6658.691679275718,8,True,8,28,28,True,7.702650124394257e-05,0.027135537319308078
8501,0.5,oracle_bernstein,8,0.0028385839687058434,0.002838583968705843,5.478096883152492e-09,1.929869590477599e-06,1.0,8,True,8,28,28,True,1.0997474980320703e-08,3.874282070810239e-06
8501,1.0,authorized_public_clip,8,0.005651558550312519,0.005651558550312519,4.363521743315068e-08,7.720917519825894e-06,6674.150220911426,8,True,8,28,24,False,0.0006162120099515403,0.10903399555303751
8501,1.0,oracle_bernstein,8,0.005651558550312519,0.005651558550312519,4.363521743315068e-08,7.720917519825894e-06,1.0,8,True,8,28,28,True,8.793205298499116e-08,1.555890329837772e-05
8502,0.25,authorized_public_clip,8,0.0014838470320802655,0.0014838470320802655,1.3698959321507137e-09,9.232056280808105e-07,3371.692939974384,8,True,8,28,27,True,9.65231106454925e-06,0.006504923249745197
8502,0.25,oracle_bernstein,8,0.0014838470320802655,0.0014838470320802655,1.3698959321507137e-09,9.232056280808105e-07,1.0,8,True,8,28,28,True,2.744719612506573e-09,1.8497321835182071e-06
8502,0.5,authorized_public_clip,8,0.002956354868368649,0.002956354868368649,1.0958964538686049e-08,3.7069178170164716e-06,3366.252237973,8,True,8,28,27,True,7.721848851639405e-05,0.02611949239127866
8502,0.5,oracle_bernstein,8,0.002956354868368649,0.002956354868368649,1.0958964538686049e-08,3.7069178170164716e-06,1.0,8,True,8,28,28,True,2.1996599924769406e-08,7.440446393185178e-06
8502,1.0,authorized_public_clip,8,0.005867444795114807,0.005867444795114805,8.766414574346102e-08,1.4940770435796656e-05,3355.623913294681,8,True,8,28,20,True,0.0006177479081311522,0.10528397447219288
8502,1.0,oracle_bernstein,8,0.005867444795114807,0.005867444795114805,8.766414574346102e-08,1.4940770435796656e-05,1.0,8,True,8,28,28,True,1.7659040064846136e-07,3.0096644584605667e-05
8503,0.25,authorized_public_clip,8,0.0014014558388661946,0.0014014558388661946,2.903536610768904e-10,2.0718002866548562e-07,15211.5490514952,8,True,8,28,28,True,9.605230100722778e-06,0.006853751525727594
8503,0.25,oracle_bernstein,8,0.0014014558388661946,0.0014014558388661946,2.903536610768904e-10,2.0718002866548562e-07,1.0,8,True,8,28,28,True,3.306134751276772e-10,2.3590716576502537e-07
8503,0.5,authorized_public_clip,8,0.002797275847751246,0.0027972758477512456,2.324155151022184e-09,8.308637677116215e-07,15187.65445519847,8,True,8,28,28,True,7.684184080578228e-05,0.02747024067722383
8503,0.5,oracle_bernstein,8,0.002797275847751246,0.0027972758477512456,2.324155151022184e-09,8.308637677116215e-07,1.0,8,True,8,28,28,True,2.7095547330889362e-09,9.686405201326606e-07
8503,1.0,authorized_public_clip,8,0.0055720652265355275,0.005572065226535527,1.8613385450842474e-08,3.34048233298859e-06,15140.01580566938,8,True,8,28,26,True,0.0006147347264462575,0.1103243952365125
8503,1.0,oracle_bernstein,8,0.0055720652265355275,0.005572065226535527,1.8613385450842474e-08,3.34048233298859e-06,1.0,8,True,8,28,28,True,2.2716582362154042e-08,4.076869425342563e-06
8504,0.25,authorized_public_clip,8,0.0012477640028210057,0.0012477640028210057,2.5318646067499714e-09,2.029121371506701e-06,1718.4004786022288,8,True,8,28,27,True,9.620872818564744e-06,0.007710490757148719
8504,0.25,oracle_bernstein,8,0.0012477640028210057,0.0012477640028210057,2.5318646067499714e-09,2.029121371506701e-06,1.0,8,True,8,28,28,True,2.1068974540819525e-11,1.6885384156218944e-08
8504,0.5,authorized_public_clip,8,0.0024866347818505163,0.0024866347818505163,2.0224791064116232e-08,8.133398279312994e-06,1718.7043473376536,8,True,8,28,27,True,7.696698254851817e-05,0.030952266524756092
8504,0.5,oracle_bernstein,8,0.0024866347818505163,0.0024866347818505163,2.0224791064116232e-08,8.133398279312994e-06,1.0,8,True,8,28,28,True,3.3843555333147503e-10,1.3610183355656053e-07
8504,1.0,authorized_public_clip,8,0.004937863243833385,0.004937863243833385,1.6130776986359092e-07,3.266752477043009e-05,1719.2845186331142,8,True,8,28,24,False,0.0006157358603881446,0.12469682327318503
